Time_Index,Time_Label,Time_Hour,LNM_kW,LMC_kW,LMS_kW,LMI_kW,Total_Load_kW
1,00:00,0.0,760.6211102,0.0,253.5403701,0.0,1267.70185
2,00:15,0.25,1492.832385,0.0,497.6107951,0.0,2488.053976
3,00:30,0.5,1940.167887,0.0,646.7226291,0.0,3233.613145
4,00:45,0.75,2147.574723,0.0,715.858241,0.0,3579.291205
5,01:00,1.0,2160.0,0.0,720.0,0.0,3600.0
6,01:15,1.25,2022.390826,0.0,674.1302752,0.0,3370.651376
7,01:30,1.5,1779.694307,0.0,593.2314358,0.0,2966.157179
8,01:45,1.75,1476.857553,0.0,492.2858509,0.0,2461.429254
9,02:00,2.0,1158.827669,0.0,386.2758895,0.0,1931.379448
10,02:15,2.25,870.5517627,0.0,290.1839209,0.0,1450.919604
11,02:30,2.5,656.9769423,0.0,218.9923141,0.0,1094.96157
12,02:45,2.75,563.0503147,0.0,187.6834382,0.0,938.4171912
13,03:00,3.0,633.6722615,0.0,211.2240872,0.0,1056.120436
14,03:15,3.25,879.8668288,0.0,293.2889429,0.0,1466.444715
15,03:30,3.5,1219.065926,0.0,406.3553087,0.0,2031.776544
16,03:45,3.75,1552.674452,0.0,517.5581507,0.0,2587.790754
17,04:00,4.0,1782.211528,1008.109622,594.0705094,0.0,2970.352547
18,04:15,4.25,1847.917788,1008.109622,615.972596,0.0,3079.86298
19,04:30,4.5,1784.952971,1008.109622,594.9843236,0.0,2974.921618
20,04:45,4.75,1642.75466,1008.109622,547.5848868,0.0,2737.924434
21,05:00,5.0,1470.715641,1008.109622,490.2385469,403.2438487,2451.192734
22,05:15,5.25,1309.667034,1008.109622,436.555678,403.2438487,2182.77839
23,05:30,5.5,1181.778056,1008.109622,393.9260186,403.2438487,1969.630093
24,05:45,5.75,1106.759702,1008.109622,368.9199006,403.2438487,1844.599503
25,06:00,6.0,1104.129193,0.0,368.0430645,403.2438487,1840.215322
26,06:15,6.25,1169.957261,0.0,389.9857536,403.2438487,1949.928768
27,06:30,6.5,1254.778058,0.0,418.2593526,403.2438487,2091.296763
28,06:45,6.75,1303.893876,0.0,434.6312919,403.2438487,2173.15646
29,07:00,7.0,1263.118094,0.0,421.0393647,403.2438487,2105.196823
30,07:15,7.25,1120.609829,0.0,373.5366097,403.2438487,1867.683048
31,07:30,7.5,937.9414823,0.0,312.6471608,403.2438487,1563.235804
32,07:45,7.75,784.0060724,0.0,261.3353575,403.2438487,1306.676787
33,08:00,8.0,726.860048,0.0,242.2866827,403.2438487,1211.433413
34,08:15,8.25,784.365671,0.0,261.4552237,403.2438487,1307.276118
35,08:30,8.5,896.5842142,0.0,298.8614047,403.2438487,1494.307024
36,08:45,8.75,996.8843918,0.0,332.2947973,403.2438487,1661.473986
37,09:00,9.0,1019.713828,0.0,339.9046094,403.2438487,1699.523047
38,09:15,9.25,948.3907812,0.0,316.1302604,403.2438487,1580.651302
39,09:30,9.5,834.0450074,0.0,278.0150025,403.2438487,1390.075012
40,09:45,9.75,732.8012182,0.0,244.2670727,403.2438487,1221.335364
41,10:00,10.0,699.5348907,0.0,233.1782969,0.0,1165.891484
42,10:15,10.25,745.0185344,0.0,248.3395115,0.0,1241.697557
43,10:30,10.5,825.1882706,0.0,275.0627569,0.0,1375.313784
44,10:45,10.75,892.552322,0.0,297.5174407,0.0,1487.587203
45,11:00,11.0,900.8938241,0.0,300.2979414,0.0,1501.489707
46,11:15,11.25,839.9645585,0.0,279.9881862,0.0,1399.940931
47,11:30,11.5,739.617166,0.0,246.5390553,0.0,1232.695277
48,11:45,11.75,631.8087082,0.0,210.6029027,0.0,1053.014514
49,12:00,12.0,547.7192761,0.0,182.573092,0.0,912.8654602
50,12:15,12.25,500.6586302,0.0,166.8862101,0.0,834.4310504
51,12:30,12.5,486.0662007,0.0,162.0220669,0.0,810.1103345
52,12:45,12.75,498.6044469,0.0,166.2014823,0.0,831.0074115
53,13:00,13.0,532.9087011,0.0,177.6362337,0.0,888.1811684
54,13:15,13.25,583.097375,0.0,194.3657917,0.0,971.8289583
55,13:30,13.5,642.8252263,0.0,214.2750754,0.0,1071.375377
56,13:45,13.75,705.7305783,0.0,235.2435261,0.0,1176.21763
57,14:00,14.0,765.5102798,0.0,255.1700933,0.0,1275.850466
58,14:15,14.25,816.7974151,0.0,272.265805,0.0,1361.329025
59,14:30,14.5,854.9780499,0.0,284.9926833,0.0,1424.963416
60,14:45,14.75,875.4595783,0.0,291.8198594,0.0,1459.099297
61,15:00,15.0,874.201022,0.0,291.4003407,0.0,1457.001703
62,15:15,15.25,854.6502978,0.0,284.8834326,0.0,1424.417163
63,15:30,15.5,825.6524461,0.0,275.217482,0.0,1376.08741
64,15:45,15.75,796.1716588,0.0,265.3905529,0.0,1326.952765
65,16:00,16.0,775.1721278,0.0,258.3907093,0.0,1291.953546
66,16:15,16.25,771.6180452,0.0,257.2060151,0.0,1286.030075
67,16:30,16.5,794.4736028,0.0,264.8245343,0.0,1324.122671
68,16:45,16.75,852.7029927,0.0,284.2343309,0.0,1421.171654
69,17:00,17.0,952.5515657,0.0,317.5171886,0.0,1587.585943
70,17:15,17.25,1072.999342,0.0,357.6664473,0.0,1788.332236
71,17:30,17.5,1177.299343,0.0,392.4331143,0.0,1962.165571
72,17:45,17.75,1228.514776,0.0,409.5049252,0.0,2047.524626
73,18:00,18.0,1196.009012,504.0548109,398.6696706,0.0,1993.348353
74,18:15,18.25,1103.980192,504.0548109,367.9933972,0.0,1839.966986
75,18:30,18.5,1004.860528,504.0548109,334.9535093,0.0,1674.767546
76,18:45,18.75,951.3155722,504.0548109,317.1051907,0.0,1585.525954
77,19:00,19.0,986.8851513,504.0548109,328.9617171,0.0,1644.808586
78,19:15,19.25,1085.829947,504.0548109,361.9433156,0.0,1809.716578
79,19:30,19.5,1190.626931,504.0548109,396.8756438,0.0,1984.378219
80,19:45,19.75,1243.586769,504.0548109,414.528923,0.0,2072.644615
81,20:00,20.0,1198.296638,504.0548109,399.4322125,336.0365406,1997.161063
82,20:15,20.25,1083.309984,504.0548109,361.1033281,336.0365406,1805.51664
83,20:30,20.5,957.762164,504.0548109,319.2540547,336.0365406,1596.270273
84,20:45,20.75,880.8787436,504.0548109,293.6262479,336.0365406,1468.131239
85,21:00,21.0,898.8506064,504.0548109,299.6168688,336.0365406,1498.084344
86,21:15,21.25,981.7506432,504.0548109,327.2502144,336.0365406,1636.251072
87,21:30,21.5,1072.1003,504.0548109,357.3667666,336.0365406,1786.833833
88,21:45,21.75,1112.38302,504.0548109,370.7943399,336.0365406,1853.971699
89,22:00,22.0,1057.503286,0.0,352.5010953,336.0365406,1762.505476
90,22:15,22.25,926.2252123,0.0,308.7417374,336.0365406,1543.708687
91,22:30,22.5,757.7782309,0.0,252.5927436,336.0365406,1262.963718
92,22:45,22.75,591.4011058,0.0,197.1337019,336.0365406,985.6685097
93,23:00,23.0,466.3326013,0.0,155.4442004,336.0365406,777.2210021
94,23:15,23.25,421.8114814,0.0,140.6038271,336.0365406,703.0191356
95,23:30,23.5,497.0765103,0.0,165.6921701,336.0365406,828.4608505
96,23:45,23.75,731.3664521,0.0,243.7888174,336.0365406,1218.944087
